pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
meale|şi|ferecata|crezu mealeşiferecatacrezu immmsisimmmmmmsimmms
că|fu|sfîrşitul|grăitele|ei căfusfîrşitulgrăiteleei isisimmmmmmmsimmmmmmsis
de|la|domnul|şi|zise|mariia deladomnulşizisemariia isisimmmmsisimmsimmmms
sufletul|mieu|de sufletulmieude immmmmmsimmsis
dumnezeu|mîntuitoriul|mieu|c-au dumnezeumîntuitoriulmieuc-au immmmmmsimmmmmmmmmmsimmsimms
căutat|la|plecaţii|robii|lui căutatlaplecaţiirobiilui immmmsisimmmmmmsimmmsims
iată|amu|de|acmu|fericează-mă|toate iatăamudeacmufericează-mătoate immsimsisimmsimmmmmmmmmmsimmms
rudele|că|făcură|mie|mărie|putearnicii|– rudelecăfăcurămiemărieputearnicii– immmmsisimmmmsimsimmmsimmmmmmmmmsc
şi|sfînt|numele şisfîntnumele isimmmsimmmms
lui|–|şi|mila lui–şimila imscisimms
lui|den|rudă|în|rudă luidenrudăînrudă imsimsimmsisimms
pre|ceia|ce|se|tem|de preceiacesetemde imsimmsisisimsis
el|făcu|ţiitură|braţelor|lui|împărţi|măreţilor elfăcuţiiturăbraţelorluiîmpărţimăreţilor isimmsimmmmmsimmmmmmsimsimmmmmsimmmmmmms
cugetele|inima|lor cugeteleinimalor immmmmmsimmmsims
şi|înălţaşi|pleca|ţii|flămînzii şiînălţaşiplecaţiiflămînzii isimmmmmmsimmmsimsimmmmmmms
împluşi|de|dulceaţă|şi|îmbogăţiţii|lăsaşi împluşidedulceaţăşiîmbogăţiţiilăsaşi immmmmsisimmmmmmsisimmmmmmmmmsimmmms
deşerţi|luară|izrailii|feciorii|lor|pomeniră|de deşerţiluarăizrailiifecioriilorpomenirăde immmmmsimmmsimmmmmmsimmmmmmsimsimmmmmmsis
milă|cum|ai milăcumai immsimsis
lu|avraam|şi|sămînţa|lui luavraamşisămînţalui isimmmmsisimmmmmsims
ia|ca|la|trei|luni|şi|se iacalatreilunişise isisisimmsimmsisis
ei|elisafthei|împlu-se|vreamia eielisaftheiîmplu-sevreamia isimmmmmmmmsimmmmmmsimmmmms
să|facă|ia|şi|născu săfacăiaşinăscu isimmsisisimmms
rudele|ei|că|mărită|iaste|mila|domnului rudeleeicămărităiastemiladomnului immmmsisisimmmmsimmmsimmsimmmmmms
cu|ia|şi cuiaşi isisis
se|bucurară|cu|ia sebucurarăcuia isimmmmmmsisis
şi|fu|a|opta|zi şifuaoptazi isiscimmsis
vineră|să|tae|feciorul|şi|să vinerăsătaefeciorulşisă immmmsisimsimmmmmmsisis
zică|lui|numele-i|pre|tatăl|lui|zahariia zicăluinumele-ipretatălluizahariia immsimsimmmmmmsimsimmmsimsimmmmmms
şi|răspunse|muma şirăspunsemuma isimmmmmmsimms
lui|zise|ba|e luizisebae imsimmsisc
să-i|ziceţi|ioann|şi|ziseră să-iziceţiioannşiziseră immsimmmmsimmmsisimmmms
cătr-însa|că|niminea|nu|iaste|în cătr-însacănimineanuiasteîn immmmmmmsisimmmmmsisimmmsis
ruda|ta|ce|să-l|cheame|acel|nume rudatacesă-lcheameacelnume immsisisimmsimmmmsimmsimms
arătară|tatălui|lui arătarătatăluilui immmmmsimmmmmsims
ce|va|vrea|să cevavreasă isisimmsis
zică|el|şi|cerşu|o zicăelşicerşuo immsisisimmmsc
scîndurea|scrise|grăi|ioann|să|fie scîndureascrisegrăiioannsăfie immmmmmmsimmmmsimmsimmmsisims
numele|lui|şi|se|mirară|toţi|desfăcu-se numeleluişisemirarătoţidesfăcu-se immmmsimsisisimmmmsimmsimmmmmmmms
gura|lui|aciia guraluiaciia immsimsimmms
şi|limba|lui|şi şilimbaluişi isimmmsimsis
grăiia|blagoslovi|dumnezeu|şi|fu grăiiablagoslovidumnezeuşifu immmmsimmmmmmmmsimmmmmmsisis
la|toţi|frică|cine|viia|împrejurul latoţifricăcineviiaîmprejurul isimmsimmmsimmsimmsimmmmmmmms
lor|şi|în|toate|laturile|iudeilor|spuse lorşiîntoatelaturileiudeilorspuse imsisisimmmsimmmmmmsimmmmmmsimmms
fură|toate|cuvintele furătoatecuvintele immsimmmsimmmmmmms
acealea|şi|puseră|toţi acealeaşipuserătoţi immmmmsisimmmmsimms
cine|auzi|în|inimile|lor cineauziîninimilelor immsimmsisimmmmmsims
grăiră|ce|amu|acest|fecior|fu grăirăceamuacestfeciorfu immmmsisimsimmmsimmmmsis
şi|mîna|lu|dumnezeu|era|cu|nusul şimînaludumnezeueracunusul isimmsisimmmmmmsimsisimmms
şi|zaharia|tatăl şizahariatatăl isimmmmmsimmms
lui|împlu-se|de|duhul luiîmplu-sededuhul imsimmmmmmsisimmms
sfînt|şi|prorociia|grăi|blagoslovit sfîntşiprorociiagrăiblagoslovit immmsisimmmmmmmsimmsimmmmmmmmms
domnul|dumnezeu|că|cercetă|şi|făcu domnuldumnezeucăcercetăşifăcu immmmsimmmmmmsisimmmmmsisimms
mîntuitură|oamenilor|lui|şi|nălţă|corn|mîntuitură mîntuiturăoamenilorluişinălţăcornmîntuitură immmmmmmmsimmmmmmmsimsisimmmsimmsimmmmmmmms
noao|în|casa noaoîncasa immsisimms
lu|david|feciorul|lui ludavidfeciorullui isimmmsimmmmmmsims
cum|au|grăit|rosturele|sfinţilor cumaugrăitrosturelesfinţilor imsisimmmsimmmmmmmsimmmmmmms
sînt|den|veac|prorocilor|lui|mîntuitură sîntdenveacprorocilorluimîntuitură immsimsimmsimmmmmmmmsimsimmmmmmmms
de|dracii|noştri|şi|den|mînile|tuturora dedraciinoştrişidenmîniletuturora isimmmmsimmmmsisimsimmmmsimmmmmms
ce|ne-au|urît cene-auurît isimmmsimms
părinţii|noştri|şi|pomeniţi|leage părinţiinoştrişipomeniţileage immmmmmsimmmmsisimmmmmmsimmms
sfinţilor|lui|jurămînt|ce|jură|cătră sfinţilorluijurămîntcejurăcătră immmmmmmsimsimmmmmmsisimmsimmms
den|mînile|dracilor denmîniledracilor imsimmmmsimmmmmms
noştri|mîntui-ne-văm|slujiţi|lui noştrimîntui-ne-vămslujiţilui immmmsimmmmmmmmmmmsimmmmmsims
preapodoabă|şi|în|dereptate|naintea preapodoabăşiîndereptatenaintea immmmmmmmmsisisimmmmmmmsimmmmms
lui|în|toate|zile|în|viiaţa luiîntoatezileînviiaţa imsisimmmsimmsisimmmms
noastră|şi|tu|fecior|proroc|de|sus noastrăşitufeciorprorocdesus immmmmsisisimmmmsimmmmsisims
chema-te-veri|nainte|mearge-veri chema-te-verinaintemearge-veri immmmmmmmmmmsimmmmsimmmmmmmmms
amu|naintea|feaţeei|domnului amunainteafeaţeeidomnului imsimmmmmsimmmmmsimmmmmms
găti-veri|calea|lui|dat-ai|înţeles găti-vericalealuidat-aiînţeles immmmmmmsimmmsimsimmmmsimmmmms
mîntuitură|oamenilor|tăi|întru|lăsăciune|păcatelor mîntuiturăoamenilortăiîntrulăsăciunepăcatelor immmmmmmmsimmmmmmmsimsimmmsimmmmmmmsimmmmmmms
lor|derept|mila|de|la|inimă|mila lordereptmiladelainimămila imsimmmmsimmsisisimmmsimms
domnului|nostru|întru domnuluinostruîntru immmmmmsimmmmsimmms
ei|cercetat|eşti|de eicercetateştide isimmmmmmsimmsis
noi|întru|răsărită|de|sus noiîntrurăsăritădesus imsimmmsimmmmmmsisims
morţiei|şedea|dereptează|picioarele|noastre|la|calea morţieişedeaderepteazăpicioarelenoastrelacalea immmmmsimmmsimmmmmmmmsimmmmmmmmsimmmmmsisimmms
feciorul|crescu|şi|se feciorulcrescuşise immmmmmsimmmmsisis
întări|cu|duhul|şi|era întăricuduhulşiera immmmsisimmmsisims
în|pustie|pînă|în|zioa|ivirei înpustiepînăînzioaivirei isimmmmsimmsisimmsimmmms
lui|cătră|izraili|ii|în|zilele|acealea luicătrăizrailiiiînzileleacealea imsimmmsimmmmmsisisimmmmsimmmmms
eşi|zisa|de eşizisade imsimmsis
la|chesar|august|să lachesaraugustsă isimmmmsimmmmsis
întîi|fu|oblăduiia|siriia|chirineu|şi întîifuoblăduiiasiriiachirineuşi immmsisimmmmmmmsimmmmsimmmmmmsis
den|cetatea|nazaretului|în|iudei dencetateanazaretuluiîniudei imsimmmmmsimmmmmmmmmsisimmms
în|cetatea|lu|david|ce|se încetatealudavidcese isimmmmmsisimmmsisis
den|casă|şi dencasăşi imsimmsis
de|moşiia|lu|david demoşiialudavid isimmmmsisimmms
scrise-se|cu|mariia|obrăcită|lui scrise-secumariiaobrăcitălui immmmmmmsisimmmmsimmmmmmsims
muiare|să-i|fie|nevinovată|era|cînd muiaresă-ifienevinovatăeracînd immmmsimmsimsimmmmmmmmsimsimms
fură|acolo|împlură-se|zilele|să|nască|şi furăacoloîmplură-sezilelesănascăşi immsimmmsimmmmmmmmsimmmmsisimmmsis
născu|fiiu-său|dentîi născufiiu-săudentîi immmsimmmmmmsimmmms
şi|înfăşă|el|şi şiînfăşăelşi isimmmmsisis
puse|el|în|iasle|derep puseelîniaslederep immsisisimmmsimmms
ce|nu|era|lor|loc|de cenueralorlocde isisimsimsimsis
lăcuită|şi|păstori|era|într-aceaia|parte|preveghea lăcuităşipăstorieraîntr-aceaiapartepreveghea immmmmsisimmmmmsimsimmmmmmmmmsimmmsimmmmmmms
paza|nopţiei|de pazanopţieide immsimmmmmsis
turma|lor|şi|iată turmalorşiiată immmsimsisimms
îngerul|domnului|stătu|într-înşii|şi îngeruldomnuluistătuîntr-înşiişi immmmmsimmmmmmsimmmsimmmmmmmmsis
slava|domnului|lumină|ei|şi|se slavadomnuluiluminăeişise immmsimmmmmmsimmmmsisisis
spăreară|cu|frică|mare|şi|zise|lor spărearăcufricămareşiziselor immmmmmsisimmmsimmsisimmsims
îngerul|nu|vă îngerulnuvă immmmmsisis
voao|bucurie|mare|ce|va voaobucuriemareceva immsimmmmmsimmsisis
fi|tuturor|oamenilor|că|au|născut fituturoroamenilorcăaunăscut isimmmmmsimmmmmmmsisisimmmms
voao|astăzi|mîntuitori|ce|iaste|hristos|domnul voaoastăzimîntuitoriceiastehristosdomnul immsimmmmsimmmmmmmmsisimmmsimmmmmsimmmms
den|cetatea|lu dencetatealu imsimmmmmsis
semn|afla-veţi|tînărul|înfăşat|zăcînd semnafla-veţitînărulînfăşatzăcînd immsimmmmmmmsimmmmmsimmmmmsimmmms
în|iasle|şi|de|pripă|fu îniasleşidepripăfu isimmmsisisimmmsis
cu|îngerii|mulţi|voinici|ai|ceriului|lăuda cuîngeriimulţivoiniciaiceriuluilăuda isimmmmmsimmmsimmmmmsisimmmmmmsimmms
dumnezeu|şi|grăiia dumnezeuşigrăiia immmmmmsisimmmms
şi|la|pămînt|pace|în şilapămîntpaceîn isisimmmmsimmsis
se|duseră|dentr-înşii|la|ceri|îngerii|şi seduserădentr-înşiilaceriîngeriişi isimmmmsimmmmmmmmmsisimmsimmmmmsis
unul|la|alt|treacem unullaalttreacem immsisimsimmmmms
amu|pînă|la|vithleem|şi amupînălavithleemşi imsimmsisimmmmmmsis
să|vedem|acest|cuvînt|ce|fu săvedemacestcuvîntcefu isimmmsimmmsimmmmsisis
ce|domnul|spuse|noao|şi|vineră|apropiiară-se cedomnulspusenoaoşivinerăapropiiară-se isimmmmsimmmsimmsisimmmmsimmmmmmmmmmms
şi|aflară|mariia şiaflarămariia isimmmmsimmmms
şi|iosif|şi|tînărul şiiosifşitînărul isimmmsisimmmmms
zăcînd|în|iasle|văzură|spuseră zăcîndîniaslevăzurăspuseră immmmsisimmmsimmmmsimmmmms
de|cuvinte|ce-au|grăit|lor|de decuvintece-augrăitlorde isimmmmmsimmmsimmmsimsis
acel|fecior|şi|toţi|auziră|mirară-se|de acelfeciorşitoţiauzirămirară-sede immsimmmmsisimmsimmmmsimmmmmmmsis
cuvinte|de|păstori cuvintedepăstori immmmmsisimmmmms
cătr-înşii|e|mariia|păziia cătr-înşiiemariiapăziia immmmmmmmscimmmmsimmmms
toate|cuvintele|acealea|băgă-le|întru toatecuvinteleacealeabăgă-leîntru immmsimmmmmmmsimmmmmsimmmmmsimmms
păstorii|slăviia|şi|făliia|dumnezeu|de|toate păstoriislăviiaşifăliiadumnezeudetoate immmmmmsimmmmmsisimmmmsimmmmmmsisimmms
ce|auzise|şi ceauziseşi isimmmmsis
văzuse|cum|fu|grăită văzusecumfugrăită immmmsimsisimmmms
cătr-înşii|şi|cîndu|se|împlură cătr-înşiişicînduseîmplură immmmmmmmsisimmmsisimmmmms
opt|zile|să|tae|el|şi optzilesătaeelşi imsimmsisimsisis
îngerul|mainte|pînă îngerulmaintepînă immmmmsimmmmsimms
nu|se|începuse|în nuseîncepuseîn isisimmmmmmsis
maţe|şi|cîndu|se|împlură maţeşicînduseîmplură immsisimmmsisimmmmms
zilele|de|curăţiia|ei|pre|leage zileledecurăţiiaeipreleage immmmsisimmmmmmsisimsimmms
lu|moisi|în|vreamia|aceaia|duseră|el lumoisiînvreamiaaceaiaduserăel isimmmsisimmmmmsimmmmsimmmmsis
în|ierusalim|să-l înierusalimsă-l isimmmmmmmsimms
e|scris|în|leagea|domnului escrisînleageadomnului cimmmsisimmmmsimmmmmms
desfacă|zgăul|sfînt|domnului|cheamă-se|şi|să desfacăzgăulsfîntdomnuluicheamă-seşisă immmmmsimmmsimmmsimmmmmmsimmmmmmmsisis
dea|jărtvă|pre deajărtvăpre imsimmmmsims
zisa|întru|leage|domnului zisaîntruleagedomnului immsimmmsimmmsimmmmmms
doao|turtureale|sau|doi|pui doaoturturealesaudoipui immsimmmmmmmmsimsimsims
de|porumb|în|vreamea|aceaia|era deporumbînvreameaaceaiaera isimmmmsisimmmmmsimmmmsims
un|om|în|ierusalim|ce-i|e|numele unomînierusalimce-ienumele isisisimmmmmmmsimmscimmmms
simeon|şi|acel simeonşiacel immmmsisimms
cinstit|aştepta|mîngîitura|izraililor|şi cinstitaşteptamîngîituraizraililorşi immmmmsimmmmmsimmmmmmmmsimmmmmmmmsis
duhul|sfînt|era|întru|el|şi duhulsfînteraîntruelşi immmsimmmsimsimmmsisis
era|el|făgăduit|duhului|sfînt|să|nu eraelfăgăduitduhuluisfîntsănu imsisimmmmmmsimmmmmsimmmsisis
vază|moarte|mainte vazămoartemainte immsimmmmsimmmms
pînă|nu|va|vedea pînănuvavedea immsisisimmms
feciorul|isus|să|facă|lor|pre|obiceai feciorulisussăfacălorpreobiceai immmmmmsimmsisimmsimsimsimmmmms
şi|acela|luo|el şiacelaluoel isimmmsimsis
la|mînile|lui|şi|blagoslovi lamînileluişiblagoslovi isimmmmsimsisimmmmmmmms
tău|doamne|pre|cuvintele|tale|cu|pace tăudoamneprecuvinteletalecupace imsimmmmsimsimmmmmmmsimmsisimms
că|văzură|ochii căvăzurăochii isimmmmsimmms
miei|mîntuitura|ta|ce-ai mieimîntuituratace-ai immsimmmmmmmmsisimmms
gătit|naintea|feaţelor|a|tuturor gătitnainteafeaţeloratuturor immmsimmmmmsimmmmmmscimmmmms
oamenilor|lumină|întru|descoperitura|limbilor|şi oamenilorluminăîntrudescoperituralimbilorşi immmmmmmsimmmmsimmmsimmmmmmmmmmmsimmmmmmsis
slava|oamenilor|tăi|izrailii|şi|era|iosif slavaoamenilortăiizrailiişieraiosif immmsimmmmmmmsimsimmmmmmsisimsimmms
şi|muma|lui şimumalui isimmsims
mirară-se|de|cuvintele|lui mirară-sedecuvintelelui immmmmmmsisimmmmmmmsims
de|el|şi|blagoslovi|ia deelşiblagosloviia isisisimmmmmmmmsis
lui|adecă|zace|cesta|la|căzătură|şi luiadecăzacecestalacăzăturăşi imsimmmsimmsimmmsisimmmmmmsis
la|sculătoare|a lasculătoarea isimmmmmmmmsc
mulţi|întru|izraili|şi mulţiîntruizrailişi immmsimmmsimmmmmsis
întru|seamne|ce-au|zis|şi întruseamnece-auzisşi immmsimmmmsimmmsimsis
ţie|însăţi|în|suflet|întra-va|armă ţieînsăţiînsufletîntra-vaarmă imsimmmmsisimmmmsimmmmmmsimms
că|amu|să|se|descoapere|den|multe căamusăsedescoaperedenmulte isimsisisimmmmmmmmsimsimmms
inimi|cugetele|şi inimicugeteleşi immmsimmmmmmsis
era|anna|prorociţa|fată eraannaprorociţafată imsimmsimmmmmmmsimms
lu|fanuil|den|ruda|lu lufanuildenrudalu isimmmmsimsimmsis
asirov|aceasta|mătorise|întru|zile|multe asirovaceastamătoriseîntruzilemulte immmmsimmmmmsimmmmmmsimmmsimmsimmms
vise|cu|bărbatulu-şi|şapte|ani|den|feţie visecubărbatulu-şişapteanidenfeţie immsisimmmmmmmmmmsimmmsimsimsimmms
ei|de-aciia|văduo eide-aciiavăduo isimmmmmmsimmms
ca|optzeci|şi|patru caoptzecişipatru isimmmmmsisimmms
den|besearecă|cu|postul|şi|cu denbesearecăcupostulşicu imsimmmmmmmsisimmmmsisis
rugăciunea|slujiia|noaptea|şi|zioa|şi|aceaia rugăciuneaslujiianoapteaşizioaşiaceaia immmmmmmmsimmmmmsimmmmmsisimmsisimmmms
într-acel|ceas|stătu într-acelceasstătu immmmmmmsimmsimmms
ispovediia-se|domnului|şi|grăi ispovediia-sedomnuluişigrăi immmmmmmmmmmsimmmmmmsisimms
de|el|tuturora|ce|aştepta deeltuturoraceaştepta isisimmmmmmsisimmmmms
mîntuire|în|ierusalim|şi|ca|sfîrşiră mîntuireînierusalimşicasfîrşiră immmmmmsisimmmmmmmsisisimmmmmms
tot|pre|leagea|domnului|întoarseră-se|în|galilei totpreleageadomnuluiîntoarseră-seîngalilei imsimsimmmmsimmmmmmsimmmmmmmmmmmsisimmmmms
în|cetatea|lor încetatealor isimmmmmsims
nazaret|feciorul|crescu|şi nazaretfeciorulcrescuşi immmmmsimmmmmmsimmmmsis
se|întăriia|cu|duhul|împlea-se seîntăriiacuduhulîmplea-se isimmmmmmsisimmmsimmmmmmms
de-nţelepciune|şi|dulceaţa|lu|dumnezeu|era de-nţelepciuneşidulceaţaludumnezeuera immmmmmmmmmmmsisimmmmmmsisimmmmmmsims
la|el|şi|mergea|părinţii|lui|în laelşimergeapărinţiiluiîn isisisimmmmsimmmmmmsimsis
toţi|aii|în toţiaiiîn immsimsis
ierusalim|în|praznicul|paştilor ierusalimînprazniculpaştilor immmmmmmsisimmmmmmmsimmmmmms
praznicului|şi|sfîrşiră|zilele|cînd|vrură|să prazniculuişisfîrşirăzilelecîndvrurăsă immmmmmmmmsisimmmmmmsimmmmsimmsimmmsis
se|întoarcă|ei seîntoarcăei isimmmmmmsis
rămase|isus|fecior|în rămaseisusfeciorîn immmmsimmsimmmmsis
ierusalim|şi|nu|precepu|iosif ierusalimşinuprecepuiosif immmmmmmsisisimmmmmsimmms
şi|muma|lui|părea-le|lor|că şimumaluipărea-lelorcă isimmsimsimmmmmmsimsis
e|cu|soţiia|vineră|cale|de|o ecusoţiiavinerăcaledeo cisimmmmsimmmmsimmsisc
zi|şi|căutară zişicăutară isisimmmmms
el|în|rude-şi|şi elînrude-şişi isisimmmmmsis
în|ştiuţi|şi|nu|aflară înştiuţişinuaflară isimmmmsisisimmmms
el|şi|fu|prespre|trei|zile|aflară elşifuprespretreizileaflară isisisimmmmmsimmsimmsimmmms
şezînd|în|mijloc|de şezîndînmijlocde immmmsisimmmmsis
învăţători|şi|asculta|acela|şi învăţătorişiascultaacelaşi immmmmmmmsisimmmmmsimmmsis
de|înţelepciune|şi|de|răspunsul|lui|şi deînţelepciuneşiderăspunsulluişi isimmmmmmmmmmsisisimmmmmmmsimsis
văzură|el|mirară-se văzurăelmirară-se immmmsisimmmmmmms
cătr-însul|muma|lui|zise cătr-însulmumaluizise immmmmmmmsimmsimsimms
fii|ce|faci|noao|aşa fiicefacinoaoaşa imsisimmsimmsims
mine|nu|ştiţi minenuştiţi immsisimmms
că|într-aceastea|ce|sînt căîntr-aceasteacesînt isimmmmmmmmmmmsisimms
părintele|mieu|cade-se|a-m|fi părintelemieucade-sea-mfi immmmmmmsimmsimmmmmsimsis
şi|aceia|nu|înţeleaseră|cuvîntul|ce şiaceianuînţeleaserăcuvîntulce isimmmsisimmmmmmmmmsimmmmmmsis
şi|era|de|se şieradese isimsisis
cuceriia|lor|şi|muma|lui cuceriialorşimumalui immmmmmsimsisimmsims
păziia|toate|cuvintele|aceastea|întru|inima păziiatoatecuvinteleaceasteaîntruinima immmmsimmmsimmmmmmmsimmmmmmsimmmsimmms
ei|isus|ajunse|înţelepciunea|şi|crescutul|şi eiisusajunseînţelepciuneaşicrescutulşi isimmsimmmmsimmmmmmmmmmmsisimmmmmmmsis
dulceaţa|de|la dulceaţadela immmmmmsisis
iii|întru|al|cincizeci|de iiiîntrualcincizecide imsimmmsisimmmmmmmsis
an|domniei|a|lu|tiberie|chesar andomnieialutiberiechesar isimmmmmscisimmmmmsimmmms
oblăduiia|pont|pilat|iudeii|şi|a|patra oblăduiiapontpilatiudeiişiapatra immmmmmmsimmsimmmsimmmmsiscimmms
oblăduiia|galileia|irod oblăduiiagalileiairod immmmmmmsimmmmmmsimms
e|filip|fratele|lui efilipfratelelui cimmmsimmmmmsims
patra|oblăduiia|turiia|şi|trahonităsca patraoblăduiiaturiiaşitrahonităsca immmsimmmmmmmsimmmmsisimmmmmmmmmms
parte|şi|lisaniia|aviliniia|patru|oblăduiia parteşilisaniiaaviliniiapatruoblăduiia immmsisimmmmmmsimmmmmmmsimmmsimmmmmmms
pre|mai|marii|preoţi|anna|şi|caiafa premaimariipreoţiannaşicaiafa imsimsimmmsimmmmsimmsisimmmms
fu|graiul|lu fugraiullu isimmmmsis
în|pustiia|şi|vine|den înpustiiaşivineden isimmmmmsisimmsims
toată|partea|iordanului|spunea|botejunea|pocaaniia toatăparteaiordanuluispuneabotejuneapocaaniia immmsimmmmsimmmmmmmmsimmmmsimmmmmmmsimmmmmmms
întru|lăsăciunea|păcatelor|cum|iaste|scris|în întrulăsăciuneapăcatelorcumiastescrisîn immmsimmmmmmmmsimmmmmmmsimsimmmsimmmsis
carte|cuvîntul|isaiei cartecuvîntulisaiei immmsimmmmmmsimmmms
proroc|grăiia|glas|strigă prorocgrăiiaglasstrigă immmmsimmmmsimmsimmmms
în|pustii|«gătiţi|calea|domnului înpustii«gătiţicaleadomnului isimmmmsimmmmmsimmmsimmmmmms
dereapte|faceţi|cărările|lui|toate|dumbrăvile dereaptefaceţicărărileluitoatedumbrăvile immmmmmsimmmmsimmmmmmsimsimmmsimmmmmmmms
împlea-se-vor|şi|toate|pădurile|şi|măgurile|pleca-se-vor împlea-se-vorşitoatepădurileşimăgurilepleca-se-vor immmmmmmmmmmsisimmmsimmmmmmsisimmmmmmsimmmmmmmmmms
şi|fi-vor|întorsurile şifi-vorîntorsurile isimmmmsimmmmmmmmms
dereapte|şi|străminele|căi dereapteşistrăminelecăi immmmmmsisimmmmmmmmsims
neatede|şi|vor|vedea|toate neatedeşivorvedeatoate immmmmsisimsimmmsimmms
trupurele|spăsenie|lu|dumnezeu»|grăiia|nărodului trupurelespăsenieludumnezeu»grăiianărodului immmmmmmsimmmmmmsisimmmmmmmsimmmmsimmmmmmms
celora|ce|eşise|să|se|boteaze|de celoraceeşisesăseboteazede immmmsisimmmsisisimmmmmsis
la|el|pui laelpui isisims
de|năpîrcă|cine|spune denăpîrcăcinespune isimmmmmsimmsimmms
voao|să|fugiţi|de|ce voaosăfugiţidece immsisimmmmsisis
vine|mînie|faceţi|amu|plod|destoinic vinemîniefaceţiamuploddestoinic immsimmmsimmmmsimsimmsimmmmmmms
de|pocăinţă|şi|nu|înceapereţi|a|grăi depocăinţăşinuînceapereţiagrăi isimmmmmmsisisimmmmmmmmmscimms
întru|voi|«tată întruvoi«tată immmsimsimmms
avăm|avraam|grăesc|amu avămavraamgrăescamu immsimmmmsimmmmsims
voao|că|poate|domnul|rădica voaocăpoatedomnulrădica immsisimmmsimmmmsimmmms
den|piatra|aceasta|feciorii|lu|avraam denpiatraaceastafecioriiluavraam imsimmmmsimmmmmsimmmmmmsisimmmms
aşa|amu|şi|săcurea|lîngă|rădăcinile|lemnului aşaamuşisăcurealîngărădăcinilelemnului imsimsisimmmmmsimmmsimmmmmmmmsimmmmmms
zace|tot|amu zacetotamu immsimsims
lemnul|ce|nu|face lemnulcenuface immmmsisisimms
plod|bun|tăiat|va|fi plodbuntăiatvafi immsimsimmmsisis
şi|în|foc|arunca-se-va|şi|întrebară şiînfocarunca-se-vaşiîntrebară isisimsimmmmmmmmmmsisimmmmmmms
el|nărodul|grăiră|ce|amu|să|facem elnărodulgrăirăceamusăfacem isimmmmmsimmmmsisimsisimmms
răspunse|ioann|grăi răspunseioanngrăi immmmmmsimmmsimms
lor|cine|are|doao lorcinearedoao imsimmsimsimms
n-are|şi|cine|are|bucate|aşijdirea n-areşicinearebucateaşijdirea immmsisimmsimsimmmmsimmmmmmms
să|facă|vineră|şi|mitarnicii|botezară-se|de săfacăvinerăşimitarniciibotezară-sede isimmsimmmmsisimmmmmmmmsimmmmmmmmmsis
el|şi|ziseră elşiziseră isisimmmms
cătr-însul|învăţătoare|ce|să cătr-însulînvăţătoarecesă immmmmmmmsimmmmmmmmmsisis
facem|el|zise|cătră|ei facemelzisecătrăei immmsisimmsimmmsis
faceţi|întrebară|el|şi|voinicii|grăiră|şi faceţiîntrebarăelşivoiniciigrăirăşi immmmsimmmmmmmsisisimmmmmmsimmmmsis
face|şi|zise|cătr-înşii faceşizisecătr-înşii immsisimmsimmmmmmmms
niminea|să|nu|obidiţi|nece nimineasănuobidiţinece immmmmsisisimmmmmsimms
să|clevetiţi|şi|destul|să|vă săclevetiţişidestulsăvă isimmmmmmmsisimmmmsisis
fie|merticele|voastre|aştepta|oamenii|şi|cugeta fiemerticelevoastreaşteptaoameniişicugeta imsimmmmmmmsimmmmmsimmmmmsimmmmmsisimmmms
doară|acesta|iaste|hristos|răspunse doarăacestaiastehristosrăspunse immmsimmmmsimmmsimmmmmsimmmmmms
ioann|tuturora|grăi|eu|amu|cu ioanntuturoragrăieuamucu immmsimmmmmmsimmsisimsis
apă|vă|botez|veni-va|mai|tare|e apăvăbotezveni-vamaitaree imsisimmmsimmmmmsimsimmsc
de|mine|ce deminece isimmsis
nu|sînt|destoinic|să nusîntdestoinicsă isimmsimmmmmmmsis
dezleg|cureaoa|călţunului|lui|acela dezlegcureaoacălţunuluiluiacela immmmsimmmmmsimmmmmmmmsimsimmms
vă|va|boteza|cu|duhul|sfînt văvabotezacuduhulsfînt isisimmmmsisimmmsimmms
şi|cu|foc|celui|e|lopata|în şicufocceluielopataîn isisimsimmmscimmmmsis
curăţi-va|area|lui|şi curăţi-vaarealuişi immmmmmmsimmsimsis
aduna-va|grîul|în|jitniţa|lui aduna-vagrîulînjitniţalui immmmmmsimmmsisimmmmmsims
e|pleavele|va|arde|în|focul epleavelevaardeînfocul cimmmmmmsisimmsisimmms
nestins|multe|amu|şi|altele|mîngîia|bine nestinsmulteamuşialtelemîngîiabine immmmmsimmmsimsisimmmmsimmmmmsimms
vestiia|oamenilor|în vestiiaoamenilorîn immmmmsimmmmmmmsis
vreamea|aceaia|irod|al vreameaaceaiairodal immmmmsimmmmsimmsis
patrul|putearnic|oblicit|fu|de patrulputearnicoblicitfude immmmsimmmmmmmsimmmmmsisis
el|de|irodiada|muiarea|frăţini-său|şi eldeirodiadamuiareafrăţini-săuşi isisimmmmmmsimmmmmsimmmmmmmmmsis
de|toate|ce|făcu|rău|irod|adause detoatecefăcurăuirodadause isimmmsisimmsimsimmsimmmms
şi|aceasta|prespre şiaceastaprespre isimmmmmsimmmmms
toate|şi|închise|ioann toateşiînchiseioann immmsisimmmmmsimmms
botezară|toţi|oamenii|şi|isus|se botezarătoţioameniişiisusse immmmmmsimmsimmmmmsisimmsis
