pravilaacestaiaste immmmmsimmmmsimmms
50eunucaut immsisimms
slavameaiastede immmsimsimmmsis
vacăutaşivajudeca isimmmsisisimmmms
51zisedomnulcătrăceiacemearseră immmmsimmmmsimmmsimmsisimmmmmms
cătrăeliudeiloradevăradevărgrăescvoao immmsisimmmmmmsimmmmsimmmmsimmmmsimms
cinevapăzi immsisimms
cuvintelemealemoarten-are immmmmmmsimmmsimmmmsimmms
avedeaînveaci52ziseră cimmmsisimmmsimmmmmms
amujidoviiacmuînţeleagemcădrac imsimmmmmsimmsimmmmmmmmsisimms
aiavraamaumuritşiprorociişi isimmmmsisimmmsisimmmmmmsis
tugrăeşti«cine isimmmmmsimmms
vapăzicuvintelemeale isimmsimmmmmmmsimmms
moarten-areagustaîn immmmsimmmscimmmsis
veaci»53audoarătumaibun immmmsimmsimmmsisimsims
eştidepărintelenostruavraamce-aumurit immsisimmmmmmmsimmmmsimmmmsimmmsimmms
şiprorociiau isimmmmmmsis
muritcuitefaci immmsimsisimms
tuînsuţi54răspunseisusde isimmmmsimmmmmmmmsimmsis
măvoislăvieuînsumislava isimsimmmsisimmmmsimmms
meanemicăiasteiastepărintelemieude imsimmmmsimmmsimmmsimmmmmmmsimmsis
măvaslăvi isisimmms
cevoigrăiţică isimsimmmmsis
dumnezeulvostruiaste55şinu immmmmmmsimmmmsimmmsimmsis
cunoaşteţieleuştiuelşi immmmmmmmsisisimmsisis
devoizicecănuştiuel isimsimmsisisimmsis
fi-vaînpodoabă immmsisimmmmms
voaominciunăce-lştiu immsimmmmmmsimmsimms
elşicuvîntulluipăzesc isisimmmmmmsimsimmmms
56avraampărintelevostrubucurosarăfi immmmmmsimmmmmmmsimmmmsimmmmmsimsis
fostsăvazăzioameaşiară immsisimmsimmsimsisims
vedeaşise-ară immmsisimmmms
bucura57ziserăluiiudeii immmmsimmmmmmsimsimmmms
cincizecideaniîncăn-ai immmmmmmsisimsimmsimms
şiavraamaivăzut58ziselor isimmmmsisimmmsimmmmsims
isusadevăradevărgrăescvoaomaidenainte immsimmmmsimmmmsimmmmsimmsimsimmmmmms
pînăavraamn-au immsimmmmsimms
fosteusînt59luară immsisimmsimmmmms
pietrisăarunceîntr-însulisus immmmsisimmmmsimmmmmmmmsimms
ascunse-seşieşidenbesearecămearse immmmmmmmsisimsimsimmmmmmmsimmmms
prenmijlocdeeişimergeaaşa immsimmmmsisisisimmmmsims
ix1învreamia isimsimmmmms
aceaiamergîndisusvăzu immmmsimmmmmsimmsimms
unomorbdennăscut isisimsimsimmmms
2şiîntrebarăeluceniciiluigrăiră imsimmmmmmmsisimmmmmmsimsimmmms
învăţătoarece-augreşitacestasaupărinţiilui immmmmmmmmsimmmsimmmmsimmmmsimsimmmmmmsims
de-aunăscutorb immmsimmmmsims
3răspunseisusneceacesta immmmmmmsimmsimmsimmmms
augreşitnecepărinţiilui isimmmmsimmsimmmmmmsims
cesăseiveascălucrullu isisisimmmmmsimmmmsis
dumnezeuspri-nsul4miemisecadea immmmmmsimmmmmmmsimmsisisimmsc
lucralucrulceluia immmsimmmmsimmmms
cem-autrimespînă isimmsimmmmsimms
iastezioveni-vanoapteacînd immmsimsimmmmmsimmmmmsimms
nimineanupoatelucra5cîndîntru immmmmsisimmmsimmmsimmmsimmms
lumesîntluminăsîntlumiei6aceastazise immsimmsimmmmsimmsimmmmsimmmmmmsimms
scuipilapămînt immmmsisimmmms
şifăcutinăde isimmsimmsis
scuipitşiunsecutină immmmmsisimmsisimms
ochiiorbului7şiziseluidu-te immmsimmmmmsimsimmsimsimmms
detespalăînfîntînasiloamului- isisimmmsisimmmmmsimmmmmmmmsc
cesespune isisimmms
trimesduse-seşise immmmsimmmmmsisis
spălăşivinevăzu8vecinii immmsisimmsimmsimmmmmms
luişivăzurăelmaintecă imsisimmmmsisimmmmsis
eraorbgrăirănuiasteacestace imsimsimmmmsisimmmsimmmmsis
şedeadecerea immmsisimmms
9aceşteagrăirăcăacesta immmmmmsimmmmsisimmmms
iasteealţiicăiaste immmscimmmsisimmms
deseamănăluielgrăică isimmmmmsimsisimmsis
eusînt10grăirăluicumuţise-au isimmsimmmmmmsimsimmsisimmms
deşchisochii11răspunse immmmmsimmmsimmmmmmmms
acelaşiziseun immmsisimmsis
omce-lcheamăisustină isimmsimmmmsimmsimms
făcuşiunseochiimieişi-m immsisimmsimmmsimmsimms
zise«du-teînfîntînasiluamuluişite immsimmmmsisimmmmmsimmmmmmmmsisis
spală»duşu-măde immmmsimmmmmsis
măspălaivăz12ziseră isimmmmsimsimmmmmms
luiundeiasteacelagrăi imsimmsimmmsimmmsimms
nuştiu13duseră-lelcătrăfarisei isimmsimmmmmmmmsisimmmsimmmmms
ceeramaidenainteorb14erasîmbătă isimsimsimmmmmmsimsimmmsimmmmms
cîndfăcutină immsimmsimms
isusşideşchiseochii immsisimmmmmmsimmms
lui15iarăşiîntrebarăfariseiipre imsimmmmmmsimmmmmmmsimmmmmmsims
elcumvezielziselor isimsimmsisimmsims
tinăpusemielaochişimă immsimmsimsisimmsisis
spălaişivăz immmmsisims
16grăirăamuuniiden immmmmmsimsimmsims
fariseiacestomnue immmmmsimmmsisisc
deladumnezeucăsîmbătanu isisimmmmmmsisimmmmmsis
păzeaştealţiigrăirăcumpoateom immmmmmsimmmsimmmmsimsisimsis
păcătosaceasteaseamne immmmmsimmmmmmsimmmms
săfacăşipîră isimmsisimms
eraîntruei17grăirăamu imsimmmsisimmmmmmsims
orbuluiiarătucegrăeştide immmmmsimmsisisimmmmmsis
elcădeşchiseochiităielzise isisimmmmmmsimmmsimsisimms
căprorociaste isimmmmsimmms
18nucrezurăamuiudeii immsimmmmmsimsimmmms
deelcăorbera isisisimsims
şivedeapînăchemarăpărinţiiaceluia isimmmsimmsimmmmmsimmmmmmsimmmmms
cevedea19şiîntrebarăeigrăirăacesta isimmmsimmsimmmmmmmsisimmmmsimmmms
iastefiiulvostru immmsimmmsimmmms
cevoigrăiiaţic-au isimsimmmmmmsimms
născutorbcumamuacmu immmmsimsimsimsimms
veade20răspunserălorpărinţiiluişi immmsimmmmmmmmmmsimsimmmmmmsimsis
ziserăştimcăacestaiastefiiulnostru immmmsimmsisimmmmsimmmsimmmsimmmms
şicaun isisis
orbaunăscut21cum imsisimmmmsimmms
acmuveadenuştimsau immsimmmsisimmsims
cineiaudeşchisluiochiilui immsimsimmmmmsimsimmmsims
noinuştimînsuşicrescutareînsuşi-l imsisimmsimmmmsimmmmmsimsimmmmmms
întrebaţiînsuşide immmmmmmsimmmmsis
eluşisăgrăiască22aceasta immmsisimmmmmmsimmmmmmms
ziserăpărinţiiluicăse immmmsimmmmmmsimsisis
temeadejidoviaşaamuera immmsisimmmmsimsimsims
desebăgasejidoviicinevaispovedi isisimmmmsimmmmmsimmsisimmmmmms
hristoslepădatde immmmmsimmmmmsis
besearecăsăfie23derept immmmmmmsisimsimmmmmms
aceaiapărinţiiluiziserăcă immmmsimmmmmmsimsimmmmsis
însuşicrescutareînsuşi-lîntrebaţi24strigară immmmsimmmmmsimsimmmmmmsimmmmmmmsimmmmmmmms
amuadoaraomulce-aufostorb imscimmmsimmsimmmsimmsims
şiziserălui isimmmmsims
dăslavăludumnezeu isimmmsisimmmmmms
noiştimcăomulacesta imsimmsisimmsimmmms
păcătosiaste25răspunseacelaşizise immmmmsimmmsimmmmmmmmsimmmsisimms
deiastepăcătosnuştiuunaştiu isimmmsimmmmmsisimmsimsimms
căorbera isimsims
acmuvăz26ziserălui immsimsimmmmmmsims
iarăcefăcuţiecum immsisimmsimsims
deşchiseochiităi27răspunselorziş immmmmmsimmmsimsimmmmmmmmsimsims
voaoşinuauziţiceiarăveţi immsisisimmmmsisimmsimms
săauziţiau isimmmmsis
doarăşivoiucenici immmsisimsimmmmms
luiveţisăfiţi28ocărîră imsimmsisimmsimmmmmmms
elşiziserătuuceniceşti isisimmmmsisimmmmsimms
aceluianoilumoisisîntemucenici29noi immmmmsimsisimmmsimmmmsimmmmmsimmms
ştimcămoisi immsisimmms
augrăitcudumnezeu isimmmsisimmmmmms
acestanuştimdeunde immmmsisimmsisimms
iaste30răspunseomulşiziselor immmsimmmmmmmmsimmsisimmsims
deaceastaamuminuneiastecăvoi isimmmmmsimsimmmmsimmmsisims
nuştiţide isimmmsis
undeiasteşideşchise immsimmmsisimmmmmms
ochiimiei31ştiucăpăcătoşii immmsimmsimmmmsisimmmmmmms
dumnezeunu-iascultăcecineiaste immmmmmsimmsimmmmmsisimmsimmms
ludumnezeuceătitoriuşivoialuiface isimmmmmmsimmmmmmmmsisimmsimsimms
acela-lascultă32den immmmmsimmmmmsimmms
veacnuiasteauzit immsisimmmsimmms
căcinedeşchiseochiiorbului isimmsimmmmmmsimmmsimmmmms
dennăscut33den-arăfiacesta imsimmmmsimmsimmmsisimmmms
fiinddeladumnezeun-arăputeaface immmsisisimmmmmmsimmmsimmmsimms
nemică34răspunserăşi immmmsimmmmmmmmmmsis
ziserăluiîntrupăcate immmmsimsimmmsimmmms
tunăscuteştitotşi isimmmmsimmsimsis
tuneveriînvăţaşiscoaseră isisimmsimmmmsisimmmmmms
elafară35auziisuscăscoaserăel isimmmsimmmmsimmsisimmmmmmsis
afarăşiaflă immmsisimms
elziseluitu isimmsimsis
creade-veriînfiiulludumnezeu immmmmmmmmsisimmmsisimmmmmms
36răspunseacelaşiziseşicine immmmmmmmsimmmsisimmsisimms
iastedoamnedesăcrezîntruel immmsimmmmsisisimmsimmmsis
37ziseluiisus immmmsimsimms
şi-lveziigrăiaşte immsimmscimmmmmms
cutineacestaiaste38el isimmsimmmmsimmmsimms
zisecrezdoamneşimăînchin immsimmsimmmmsisisimmmms
lui39şiziseisuszisedomnulcătră imsimmsimmsimmsimmsimmmmsimmms
ceiacemearseră immsisimmmmmms
cătrăeliudeilorla immmsisimmmmmmsis
judeţeuînlumeaaceasta immmsisisimmmsimmmmms
veniicinenuveadesăvază immmsimmsisimmmsisimms
şicinevădorbifi-vor40şiauziră isimmsimsimmsimmmmsimmsimmmms
denfariseiaceasta imsimmmmmsimmmmms
eracunusulşi imsisimmmsis
ziserăluiaudoarăşi immmmsimsisimmmsis
noiorbisîntem41ziselorisus imsimmsimmmmsimmmmsimsimms
de-aţifiorbifiindn-aţifiavînd immmmsisimmsimmmsimmmsisimmms
păcateacmugrăiţi immmmsimmsimmmms
căvedempăcateleamu isimmmsimmmmmmsims
voastrefi-vorx1zisedomnul immmmmsimmmmscimmmsimmmms
cătrăceiacemearserăcătrăel immmsimmsisimmmmmmsimmmsis
iudeilorcinenuvameargepreuşe immmmmmsimmsisisimmmmsimsims
încurteaoilor isimmmmsimmms
cepreprilazşi isimsimmmmsis
preaaiureafuriasteşi immsimmmmsimsimmmsis
tîlhari2iarăcinevameargepre immmmmsimmmsimmsisimmmmsims
uşepăstoriiasteoilor3acestuşariudeşchide imsimmmmmsimmmsimmmsimmmmsimmmmsimmmmmms
şioileglasul isimmsimmmms
luiaudşiale imsimsisims
luioistrigă-leprenume imsisimmmmmmmsimsimms
şiscorneaşteiale4şicîndale isimmmmmmmmsimmsimsimmsims
luioiscoatenainte-lemeargeşioile imsisimmmmsimmmmmmmsimmmmsisimms
dupăelmerg immsisimms
căştiuglasullui isimmsimmmmsims
5dupăstriinnumergce immmsimmmmsisimmsis
fugdelaelcănu imsisisisisis
ştiuglasuldestriin6aceastăpildăzise immsimmmmsisimmmmsimmmmmmsimmmsimms
lorisusei imsimmsis
nuînţeleaserăceera isimmmmmmmmmsisims
cegrăiialor7ziseiară isimmmmsimsimmmsimms
lorisusadevăradevărgrăescvoao imsimmsimmmmsimmmmsimmmmsimms
căeusîntuşaoilor8toţicîţi isisimmsimsimmmsimmmsimms
vorvenimainte imsimmsimmmms
deminefurisînt isimmsimmsimms
şitîlharicenuvor isimmmmmsisisims
ascultaeioile9zisedomnulcătră immmmmsisimmsimmmsimmmmsimmms
ceiacemearserăcătrăeliudeiloreu immsisimmmmmmsimmmsisimmmmmmsis
sîntuşeşi immsimsis
înminecineva isimmsimmsis
întramîntui-se-vaşiîntra-vorşi immmsimmmmmmmmmmsisimmmmmmmsis
eşi-vorşipăşuneafla-vor10furulnu immmmmsisimmmmsimmmmmmsimmmmmsis
vaveninumaisăfureşisă isimmsimmmsisimmsisis
ucigăşisă immmsisis
piarzăeuveniiviiaţă immmmsisimmmsimmmms
săaveţişimaimultă isimmmsisimsimmms
avea-veţi11eusîntpăstoriubunpăstoriul immmmmmmsimmsimmsimmmmmmsimsimmmmmmms
bunsufletulluipune-ldereptoile12iară imsimmmmmmsimsimmmmsimmmmsimmsimmmms
năemniculcenu immmmmmmsisis
epăstoriucenu cimmmmmmsisis
sîntoileluiveadelupul immsimmsimsimmmsimmms
viindşilasăoileşifuge immmsisimmsimmsisimms
şilupulrăsipeaşteialeşirăspîndeaşteoile isimmmsimmmmmmmmsimmsisimmmmmmmmmmsimms
13iarănăemniculfuge immmmsimmmmmmmsimms
cănăemniciasteşi isimmmmmsimmmsis
nugrijaştedeoi14eu isimmmmmmsisisimms
sîntpăstoriubunşiştiu-văşi immsimmmmmmsimsisimmmmmsis
ştiţi-mă15cumumăştiepărinteleşieu immmmmmsimmmmsisimmsimmmmmmmsisis
ştiupărinteleşi immsimmmmmmmsis
sufletulsăupune-l-vaderept immmmmmsimsimmmmmmmsimmmms
oi16şialteoiam isimmsimmsisis
cenusîntdencurteaaceasta isisimmsimsimmmmsimmmmms
şiacealeamisecadesăle isimmmmmsisisimmsisis
aducşiglasul immsisimmmms
mieuauzi-vorşiva immsimmmmmmsisis
fioturmăşiun iscimmmsisis
păstoriu17zisedomnulcătrăceiace immmmmmsimmmmsimmmmsimmmsimmsis
mearserăcătrăeliudeilordereptaceaiapărintele immmmmmsimmmsisimmmmmmsimmmmsimmmmsimmmmmmms
măiubeaştecă isimmmmmmsis
eupune-voisufletulmieu isimmmmmmsimmmmmmsimms
caiarăsă-liauel isimmsimmsimsis
18şinimineanu-lvaluael immsimmmmmsimmsisimsis
denmineceeupune-l-voiuelde imsimmsisisimmmmmmmmmsisis
mineşiputeaream immmmsimmmmmsis
apuneelşi cimmsisis
puteareamiarăalua immmmmsisimmscims
elaceastăporîncităluaidela isimmmmmsimmmmmmmsimmsisis
părintelemieu19sfarăfuiarăîntruiudei immmmmmmsimmsimmmmmsisimmsimmmsimmms
decuvinteleaceastea isimmmmmmmsimmmmmms
20grăirămulţidentr-înşiidrac immmmmmsimmmsimmmmmmmmmsimms
areşinesănătosiastecine imsisimmmmmmmsimmmsimms
elvaasculta21alţiigrăirăaceaste isisimmmmmsimmmmmsimmmmsimmmmms
cuvintenusîntdrăceştiaudoarădracul immmmmsisimmsimmmmmmsisimmmsimmmms
poateochiiorbului immmsimmmsimmmmms
sădeşchiză22învreamia isimmmmmmsimmsimmmmms
aceaiafuatuncetîrnosealăîn immmmsisimmmmsimmmmmmmmsis
ierusalimşifrigera23şimergea immmmmmmsisimmsimsimmsimmmms
isusînbesearecăînpridvoarălelusolomon immsisimmmmmmmsisimmmmmmmmmsisimmmmms
24încungiurarăeliudeii immmmmmmmmmmmsisimmmms
şigrăirăluipînă isimmmmsimsimms
cîndsufletelenoastreşiîn immsimmmmmmmsimmmmmsisis
minecinevaîntramîntui-se-vaşi immsimmsisimmmsimmmmmmmmmmsis
întra-vorşieşi-vorşipăşuneafla-vor10furul immmmmmmsisimmmmmsisimmmmsimmmmmmsimmmmms
nuvaveni isisimms
numaisăfureşi immmsisimmsis
săucigăşisăpiarză isimmmsisisimmmms
euveniiviiaţăsăaveţişi isimmmsimmmmsisimmmsis
maimultăavea-veţi11eusîntpăstoriubun imsimmmsimmmmmmmsimmsimmsimmmmmmsims
păstoriulbunsufletul immmmmmmsimsimmmmmms
luipune-ldereptoile imsimmmmsimmmmsimms
12iarănăemniculcenue immmmsimmmmmmmsisisc
păstoriucenusîntoilelui immmmmmsisisimmsimmsims
veadelupulviindşilasăoileşi immmsimmmsimmmsisimmsimmsis
fugeşilupul immsisimmms
răsipeaşteialeşirăspîndeaşte immmmmmmmsimmsisimmmmmmmmmms
oile13iarănăemniculfugecă immsimmmmsimmmmmmmsimmsis
năemniciasteşinugrijaştede immmmmsimmmsisisimmmmmmsis
oi14eusîntpăstoriubunşiştiu-vă isimmsimmsimmmmmmsimsisimmmmms
şiştiţi-mă15cumu isimmmmmmsimmmms
măştiepărinteleşi isimmsimmmmmmmsis
euştiupărinteleşisufletul isimmsimmmmmmmsisimmmmmms
săupune-l-vadereptoi16şialte imsimmmmmmmsimmmmsisimmsimms
oiamcenusîntdencurtea isisisisimmsimsimmmms
aceastaşiacealea immmmmsisimmmmms
misecadesă isisimmsis
leaducşiglasulmieu isimmsisimmmmsimms
auzi-vorşivafioturmă immmmmmsisisiscimmms
şiunpăstoriu17zisedomnulcătrăceia isisimmmmmmsimmmmsimmmmsimmmsimms
cemearserăcătră isimmmmmmsimmms
eliudeilordereptaceaia isimmmmmmsimmmmsimmmms
părintelemăiubeaştecăeu immmmmmmsisimmmmmmsisis
pune-voisufletulmieucaiarăsă-l immmmmmsimmmmmmsimmsisimmsimms
iauel18şinimineanu-lvalua imsisimmsimmmmmsimmsisims
eldenmine isimsimms
ceeupune-l-voiuel isisimmmmmmmmmsis
demineşiputeareama isimmmmsimmmmmsisc
puneelşiputeareamiară immsisisimmmmmsisimms
aluaelaceastăporîncităluaide cimsisimmmmmsimmmmmmmsimmsis
lapărintelemieu isimmmmmmmsimms
19sfarăfuiarăîntru immmmmsisimmsimmms
iudeidecuvinteleaceastea20grăiră immmsisimmmmmmmsimmmmmmsimmmmmms
mulţidentr-înşiidracareşinesănătos immmsimmmmmmmmmsimmsimsisimmmmmmms
iastecineelvaasculta21alţiigrăiră immmsimmsisisimmmmmsimmmmmsimmmms
aceastecuvintenu immmmmsimmmmmsis
sîntdrăceştiaudoară immsimmmmmmsisimmms
draculpoateochiiorbuluisă immmmsimmmsimmmsimmmmmsis
deşchiză22învreamiaaceaiafuatunce immmmmmsimmsimmmmmsimmmmsisimmmms
tîrnosealăînierusalimşifrigera23şi immmmmmmmsisimmmmmmmsisimmsimsimms
mergeaisusîn immmmsimmsis
besearecăînpridvoarălelu immmmmmmsisimmmmmmmmmsis
solomon24încungiurarăeliudeiişi immmmmsimmmmmmmmmmmmsisimmmmsis
grăirăluipînăcîndsufletelenoastre immmmsimsimmsimmsimmmmmmmsimmmmms
lua-verideeştituhristosspunenoao immmmmmsisimmsisimmmmmsimmmsimms
nutesfii isisimms
25răspunselorisusspui immmmmmmmsimsimmsimms
voaoşinucreadeţilucrul immsisisimmmmmmsimmmms
ceeufacdenumelepărintelui isisimsisimmmmsimmmmmmmms
mieuacelamărturisi-vademine26cevoi immsimmmsimmmmmmmmmmsisimmsimmsims
nucreadeţinu isimmmmmmsis
sînteţiamudenoile immmmmsimsimsimms
mealecumamzisvoao immmsimsisimsimms
27zisedomnulcătrăceiacemearseră immmmsimmmmsimmmsimmsisimmmmmms
cătrăeliudeiloroilemealeglasulmieu immmsisimmmmmmsimmsimmmsimmmmsimms
audşieu imsisis
ştiuialeşidupă immsimmsisimms
minevine28şieuviaţă immsimmsimmsisimmms
înveacida-voilorşinu isimmmsimmmmsimsisis
vorperiînveacişinu-iva imsimmsisimmmsisimmsis
răpieiniminea immsisimmmmms
denmînilemeale29părintele imsimmmmsimmmsimmmmmmmmms
mieuce-audatmiemai immsimmmsimsimsims
mareiastedetoţişiniminea immsimmmsisimmsisimmmmms
nupoatesărăpeascăeidenmînile isimmmsisimmmmmmsisimsimmmms
părinteluimieu30eu immmmmmmmsimmsimms
şipărinteleunulsîntem isimmmmmmmsimmsimmmms
31luarăpietriiarăiudeiisă immmmmsimmmmsimmsimmmmsis
ucigăel32răspunselorisusmulte immmsisimmmmmmmmsimsimmsimmms
lucruribunearătaivoaodelapărintele immmmmsimmsimmmmsimmsisisimmmmmmms
mieudecare immsisimms
lucrupietriaruncaţipre immmsimmmmsimmmmmmsims
mine33răspunserăluiiudeiigrăiră immsimmmmmmmmmmsimsimmmmsimmmms
debunelucrurepietrin-amarunca isimmsimmmmmsimmmmsimmsimmmms
spretinecedehulecătu immsimmsisisimmsisis
omeştifaci-te isimmsimmmmms
dumnezeu34răspunselorisus immmmmmsimmmmmmmmsimsimms
nuiastescrisînleagea isimmmsimmmsisimmmms
voastră«euzicdumnezeisînteţi»35e immmmmsimsimsimmmmmmsimmmmmmsims
săaceaiazicedumnezeicătr-înşiicuvîntullui isimmmmsimmsimmmmmmsimmmmmmmmsimmmmmmsims
dumnezeufu– immmmmmsisc
şinupotsparge isisimsimmmms
scriptura–36cepărintele-llumină immmmmmmscimmsimmmmmmmmmsimmmms
şitremeaseîntrulumevoigrăiţi isimmmmmmsimmmsimmsimsimmmms
că«hulăgrăidereptaceaiaspuică isimmmsimmsimmmmsimmmmsimmsis
fiiulludumnezeu immmsisimmmmmms
sînt37den-aşface immsimmsimmsimms
lucrulpărinteluimieunumii-aţi immmmsimmmmmmmmsimmsisimmmmms
aveacredinţă38iarădevoi immsimmmmmmsisimmsisims
faceesămienuveţicreade immscisimsisimmsimmmms
lucruluimieucreadeţi immmmmmsimmsimmmmmms
săînţeleageţişisă isimmmmmmmmmsisis
creadeţicăîntruminee immmmmmsisimmmsimmsc
părinteleşieuîntruel39în immmmmmmsisisimmmsisimms
vreameaaceaiacăutaamuiarădesă immmmmsimmmmsimmmsimsimmsisis
prinzăelşi immmmsisis
eşidenmînilelor imsimsimmmmsims
40şiseduseiarăîn immsisimmsimmsis
ceaiaparteaiordanuluilalocul immmsimmmscimmmmmmmmsisimmms
undeeraioannmaidenaintedeboteza immsimsimmmsimsimmmmmmsisimmmms
şifuaciia isisimmms
41şimulţivinerăcătră immsimmmsimmmmsimmms
elşigrăirăcăioann isisimmmmsisimmms
amuseamnenufăcuneceunul imsimmmmsisimmsimmsimms
toatecîte-auzisioandeacestaadeverit immmsimmmmmsimsimmsisimmmmsimmmmmms
era42şimulţi imsimmsimmms
aciiacrezurăîntruel immmsimmmmmsimmmsis
xi1învreamiaaceaiaera isimsimmmmmsimmmmsims
unuldeboliialazardenvithania immsisimmmmsimmmsimsimmmmmms
denoraşmariiaşimartasurorilelui imsimmsimmmmsisimmmsimmmmmmsims
2eramariiade immsimmmmsis
unseasedomnulcumir immmmmsimmmmsisims
şişterseasepicioareleluicu isimmmmmmmsimmmmmmmmsimsis
păruleialeifratelazar immmsisisisimmmsimmms
boliia3tremeaseamusoru-sacătr-însulgrăidoamne immmmsimmmmmmmsimsimmmmmsimmmmmmmmsimmsimmmms
iatăcelace immsimmsis
iubiiaiboleaşte4auziisus immmmmsimmmmmmsimmmsimms
ziseaceastaboalănue immsimmmmmsimmmsisc
cătrămoartecedeslavalu immmsimmmmsisisimmmsis
dumnezeudesăseproslăveascăfiiullu immmmmmsisisisimmmmmmmmmmsimmmsis
dumnezeudereptia immmmmmsimmmmsis
5iubiiaisusmartaşi immmmmsimmsimmmsis
soraeişilazar6cînd immsisisimmmsimmms
auzicăboleaşteatuncefupînă immsisimmmmmmsimmmmsisimms
laeleralocdedoaozile isisimsimsisimmsimms
7dupăaceaiagrăi immmsimmmmsimms
ucenicilorpăsămîntruiudei immmmmmmmsimmmsimmmsimmms
iară8grăirăluiuceniciiînvăţătoare immsimmmmmsimsimmmmmmsimmmmmmmmms
acmucautătinecupietrisă immsimmmsimmsisimmmmsis
teucigăiudeiişiiarăşimergiacolo isimmmsimmmmsisimmmmsimmmsimmms
9răspunseisusnu immmmmmmsimmsis
doaosprăzeaceceasuresîntîn immmmmmmmmmmsimmmmmsimmsis
zicinevaîmblazioa isimmsisimmmsimms
nusevapoticnicălumina isisisimmmmmsisimmmms
lumieiaceştiiaveade10iarăcinevaîmbla immmmsimmmmmmsimmmsimmmmsimmsisimmms
noapteapoticni-se-vacă immmmmsimmmmmmmmmmmsis
luminănuiasteîntru immmmsisimmmsimmms
el11aceastaziseşidupă isimmmmmmmsimmsisimms
aceastagrăilorlazarsoţulnostru immmmmsimmsimsimmmsimmmsimmmms
auadurmitcemergsădeşteptel isimmmmmsisimmsisimmmmmsis
12ziserăuceniciilui immmmmmsimmmmmmsims
doamnedevadurmi immmmsisisimmms
mîntuitvafi13ziseisus immmmmsisisimmmmsimms
demoartealuieilepărea isimmmmmsimsisisimmms
cădeadurmitulsomnuluigrăiia14atunceamu isisimmmmmmmsimmmmmmsimmmmsimmmmmmsims
ziselorisus immsimsimms
număsfiesclazar isisimmmmsimmms
aumurit15şimăbucur isimmmsimmsisimmms
dereptvoisăcreadeţicăn-am immmmsimsisimmmmmmsisimms
fostacolocepăsămcătr-însul16zisethoma immsimmmsisimmmsimmmmmmmmsimmmmsimmms
ce-lchemageamănul immsimmmsimmmmmms
ucenicilorpăsămşinoi immmmmmmmsimmmsisims
sămurimcunusul17mearse isimmmsisimmmsimmmmmms
isusaflăeldepatruzile immsimmsisisimmmsimms
încăavîndînmormînt18eravithaniaaproape immsimmmsisimmmmmsimmmsimmmmmmsimmmmms
deierusalimca isimmmmmmmsis
doaosprăzeacemile19şimulţi immmmmmmmmmmsimmsimmsimmms
deniudeieraveniţicătră imsimmmsimsimmmmsimmms
martaşimariiasămîngîeiale immmsisimmmmsisimmmmsimms
defrateleei20emarthacîndauzi isimmmmmsisimsimmmmsimmsimms
căisusvine isimmsimms
timpinăelmariiaşedea immmmmsisimmmmsimmms
acasă21zisemarthacătrăisus immmsimmmmsimmmmsimmmsimms
doamnede-aififostciceafratele immmmsimmmsisimmsimmmsimmmmms
mieun-arăfimurit22ceşiacmu immsimmmsisimmmsimmsisimms
ştiucăcît immsisims
săaicearede isisimmmsis
ladumnezeudă-țițiedumnezeu isimmmmmmsimmmsimsimmmmmms
23grăieiisusînvie-vafrateletău immmmsisimmsimmmmmmsimmmmmsims
24grăiluimarthaştiucăvaînvie immmmsimsimmmmsimmsisisimmms
întruînviereaîntru immmsimmmmmmsimmms
zileledeapoi25zise immmmsisimmsimmmms
eiisuseusîntînviere isimmsisimmsimmmmms
şiviiaţăcinevacreadeîntru isimmmmsimmsisimmmmsimmms
minesăarăşimuriînvie-va26şi immsisimsisimmsimmmmmmsimms
toţiviiicine immsimmsimms
credîntruminenu immsimmmsimmsis
vormuriînveacii imsimmsisimmmsc
credinţaaceasta27grăiluiadevărdoamne immmmmmsimmmmmsimmmmsimsimmmmsimmmms
eucrezcătueştihristosfiiul isimmsisisimmsimmmmmsimmms
ludumnezeuşi isimmmmmmsis
înlumeaivenit isimmsisimmms
28şiaceastazisemearseşi immsimmmmmsimmsimmmmsis
strigămariiasoru-saîntainăzise immmmsimmmmsimmmmmsisimmmsimms
învăţătoriulviitoriuiasteşitecheamă29ia immmmmmmmmmsimmmmmmsimmmsisisimmmmsimms
caauzisculă-se isimmsimmmmmms
curîndşiseduse immmmsisisimms
cătr-însul30nuamueravenit immmmmmmmsimmsimsimsimmms
isusînoraşceerala immsisimmsisimsis
loculundetimpinăelmartha31iudeiiamu immmsimmsimmmmmsisimmmmsimmmmmmsims
eracunusa imsisimms
încasăşimîngîia isimmsisimmmmms
iavăzurămariiacăcurîndu isimmmmsimmmmsisimmmmms
sesculăşieşidupăia isimmmsisimsimmsis
duseră-segrăirăcămeargelamormîntsă immmmmmmsimmmmsisimmmmsisimmmmmsis
plîngăacolo32e immmmsimmmsims
mariiavineundeera immmmsimmsimmsims
isusvăzuelcăzu-ilui immsimmsisimmmmsims
lapicioaregrăiluidoamnede-ai isimmmmmmsimmsimsimmmmsimmms
fifostcicean-arăfimuritfratele isimmsimmmsimmmsisimmmsimmmmms
mieu33isusca immsimmmmsis
văzuiaplîngîndu-seşi immsisimmmmmmmmmmsis
mergeacunusaiudeiiplîngea-se immmmsisimmsimmmmsimmmmmmmms
