pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
eghipet|cu|fraţii eghipetcufraţii immmmmsisimmmms
săi|şi|cu|toţi săişicutoţi imsisisimms
mersease|în|sus|a|îngrupa|pre merseaseînsusaîngrupapre immmmmmsisimscimmmmmsims
tată-său|15vădzînd|iară|fraţii|lu|iosif|cum tată-său15vădzîndiarăfraţiiluiosifcum immmmmmsimmmmmmmsimmsimmmmsisimmmsims
tată-său|ară|fi tată-săuarăfi immmmmmsimsis
doară|iosif|va|înceape|a doarăiosifvaînceapea immmsimmmsisimmmmmsc
plăti|tot|acela|rău|ce|am|făcut plătitotacelarăuceamfăcut immmsimsimmmsimsisisimmms
pre|el|16derept preel16derept imsisimmmmmms
aceea|aceasta|porînciră|lui aceeaaceastaporîncirălui immmsimmmmmsimmmmmmmsims
tatăl|tău|ainte|de|ce tatăltăuaintedece immmsimsimmmsisis
ară|muri|aceasta|lăsă|dzicînd|17«aceasta arămuriaceastalăsădzicînd17«aceasta imsimmsimmmmmsimmsimmmmmsimmmmmmmms
dziceţi|lu|iosif|‘rogu-te|iartă|fraţilor|tăi dziceţiluiosif‘rogu-teiartăfraţilortăi immmmmsisimmmsimmmmmmsimmmsimmmmmmsims
păcatele|lor|cum|rău păcatelelorcumrău immmmmmsimsimsims
ca|acesta|au|făcut|cu caacestaaufăcutcu isimmmmsisimmmsis
tine’»|rugămu-te|derept|aceaea|pre|tine tine’»rugămu-tedereptaceaeapretine immmmsimmmmmmmsimmmmsimmmmsimsimms
cum|iartă|noao|slugilor|domnedzeului|tătîni-tău|această cumiartănoaoslugilordomnedzeuluitătîni-tăuaceastă imsimmmsimmsimmmmmmsimmmmmmmmmmsimmmmmmmmsimmmmms
strimbătate|ce|iosif strimbătateceiosif immmmmmmmmsisimmms
plînse|cînd|aceastea|dziseră plînsecîndaceasteadziseră immmmsimmsimmmmmmsimmmmms
lui|18că|fraţii|lui|mearseră lui18căfraţiiluimearseră imsimmsimmmmsimsimmmmmms
înainte-i|şi|înaintea|lui|plecîndu-se|pre înainte-işiînaintealuiplecîndu-sepre immmmmmmsisimmmmmmsimsimmmmmmmmmsims
sîntem|19iosif|dzise sîntem19iosifdzise immmmsimmmmmsimmms
u|putem|sta|de-a|aleanul uputemstade-aaleanul cimmmsimsimmsimmmmms
voiei|lui|dumnedzeu|20voi|aţi|gîndit voieiluidumnedzeu20voiaţigîndit immmsimsimmmmmmmsimmmsimsimmmms
aceaea|cum|cu|mine|veţi|face|rău aceaeacumcumineveţifacerău immmmsimsisimmsimmsimmsims
ce|domnedzeu|domnedzeu cedomnedzeudomnedzeu isimmmmmmmsimmmmmmms
să-l|facă|bun|aceaea|făcu să-lfacăbunaceaeafăcu immsimmsimsimmmmsimms
cum|aceaea|iaste|deşchis|pre|ţietura cumaceaeaiastedeşchispreţietura imsimmmmsimmmsimmmmmsimsimmmmms
teamereţi|purta-voiu|căştigă teamereţipurta-voiucăştigă immmmmmmsimmmmmmmmsimmmmms
pre|voi|şi|pre prevoişipre imsimsisims
şi|cu|dragoste|grăi|cu|ei şicudragostegrăicuei isisimmmmmmsimmsisis
22lăcui|derept|aceea|în|eghipet|cu|casa 22lăcuidereptaceeaîneghipetcucasa immmmmsimmmmsimmmsisimmmmmsisimms
tătîni-său|şi|custă tătîni-săuşicustă immmmmmmmsisimmms
o|sută|şi|dzeace osutăşidzeace cimmsisimmmms
efrem|pînă|în|a|treia|sămînţă efrempînăînatreiasămînţă immmsimmsiscimmmsimmmmms
genuchele|lu|iosif|născură genucheleluiosifnăscură immmmmmmsisimmmsimmmmms
săi|iaca|eu|voiu|muri|după săiiacaeuvoiumuridupă imsimmsisimmsimmsimms
mortea|mea|domnedzeu|va|căuta|pre|voi morteameadomnedzeuvacăutaprevoi immmmsimsimmmmmmmsisimmmsimsims
şi|despre|acesta şidespreacesta isimmmmsimmmms
pămînt|va|duce|pre pămîntvaducepre immmmsisimmsims
voi|pre|acela|pămînt|pre voipreacelapămîntpre imsimsimmmsimmmmsims
care|giurînd|l-au|făgăduit|lu|avraam caregiurîndl-aufăgăduitluavraam immsimmmmmsimmsimmmmmmsisimmmms
lu|israil|şi|dzise luisrailşidzise isimmmmsisimmms
25muri|derept|aceaea|iosif|cînd|ară|fi 25muridereptaceaeaiosifcîndarăfi immmmsimmmmsimmmmsimmmsimmsimsis
în|vărstă|de învărstăde isimmmmsis
o|sută|şi|dzeace osutăşidzeace cimmsisimmmms
ani|şi-l|unseră|pre|el anişi-lunserăpreel imsimmsimmmmsimsis
cu|aromat|şi-l|puseră|în|eghipet cuaromatşi-lpuserăîneghipet isimmmmsimmsimmmmsisimmmmms
a|prima|iaste aprimaiaste cimmmsimmms
aceasta|a|doa|carte aceastaadoacarte immmmmscimsimmms
a|lu|moisi|ce|se alumoisicese cisimmmsisis
chiamă|ishod|1|cap|1aceastea-s|numele chiamăishod1cap1aceastea-snumele immmmsimmmscimsimmmmmmmmmsimmmms
ficiorilor|lu|israil|carii|cu|iacov|întrară ficiorilorluisrailcariicuiacovîntrară immmmmmmmsisimmmmsimmmsisimmmsimmmmms
în|eghipet|toţi îneghipettoţi isimmmmmsimms
cine|cu|casele|sale cinecucaselesale immsisimmmmsimms
întrară|lontru|2ruven|simeon|levi întrarălontru2ruvensimeonlevi immmmmsimmmmsimmmmsimmmmsimms
iuda|3izahar|zavulon|şi|veniamin|4dan iuda3izaharzavulonşiveniamin4dan immsimmmmmsimmmmmsisimmmmmmsimms
şi|nefalim|gad|şi|asir|5era|derept şinefalimgadşiasir5eraderept isimmmmmsimsisimmsimmsimmmms
aceaea|toate|sufletele aceaeatoatesufletele immmmsimmmsimmmmmmms
lor|carii|întrase|lontru lorcariiîntraselontru imsimmmsimmmmmsimmmms
den|trupul|lu|iacov|şaptedzeci dentrupulluiacovşaptedzeci imsimmmmsisimmmsimmmmmmmms
iosif|iară|încă|ainte|de-aceea|era iosifiarăîncăaintede-aceeaera immmsimmsimmsimmmsimmmmmmsims
în|eghipet|6cînd|amu|iosif|ară|fi îneghipet6cîndamuiosifarăfi isimmmmmsimmmsimsimmmsimsis
murind|şi|toţi murindşitoţi immmmsisimms
fraţii|lui|şi|toţi fraţiiluişitoţi immmmsimsisimms
aceia|carii|au|viiat|în aceiacariiauviiatîn immmsimmmsisimmmsis
aceaea|vreame|7crescură|ficiorii|lu|israil aceaeavreame7crescurăficioriiluisrail immmmsimmmmsimmmmmmmsimmmmmmsisimmmms
născură|poroboci|înmulţiră-se|şi|vărtos|tare|se născurăporobociînmulţiră-seşivărtostarese immmmmsimmmmmmsimmmmmmmmmmsisimmmmsimmsis
atîta|cum|pămîntul|cu atîtacumpămîntulcu immmsimsimmmmmmsis
ei|se|împlu|8atunci|se eiseîmplu8atuncise isisimmmsimmmmmsis
rădică|împărat|nou|în|eghipet|carele rădicăîmpăratnouîneghipetcarele immmmsimmmmmsimsisimmmmmsimmmms
despre|iosif|nemică|nu|ştiia|9şi|dzise despreiosifnemicănuştiia9şidzise immmmsimmmsimmmmsisimmmsimsimmms
mai|mulţi-s|şi|mai|tari maimulţi-sşimaitari imsimmmmmsisimsimms
călcăm|pre|ei|că|doară|se|vor călcămpreeicădoarăsevor immmmsimsisisimmmsisims
înmulţi|şi|se înmulţişise immmmmsisis
va|fi|năvălind|pre vafinăvălindpre isisimmmmmmsims
cătră|vrăjmaşii|noştri|şi|ră|dzbind cătrăvrăjmaşiinoştrişirădzbind immmsimmmmmmmsimmmmsisisimmmms
pre|noi|vor|ieşi|den|cest|pămînt prenoivorieşidencestpămînt imsimsimsimmsimsimmsimmmms
afară|11tocmiră|derept afară11tocmirăderept immmsimmmmmmmsimmmms
aceea|şpani|pre|ei aceeaşpanipreei immmsimmmsimsis
grea|să-i|dosădească|că|lu|faraon greasă-idosădeascăcălufaraon immsimmsimmmmmmmmsisisimmmms
dzidiră|ceaste|oraşe|fitomul|şi|romoşişe|de-a dzidirăceasteoraşefitomulşiromoşişede-a immmmmsimmmmsimmmsimmmmmsisimmmmmmsimms
ţinearea|corturile|12ce ţineareacorturile12ce immmmmmsimmmmmmmsimms
chinuiia|călcîndu-i|pre|ei|de-aceea chinuiiacălcîndu-ipreeide-aceea immmmmmsimmmmmmmmsimsisimmmmmms
mai|tare|se|înmulţiia|şi|creştea maitareseînmulţiiaşicreştea imsimmsisimmmmmmmsisimmmmms
13şi|urîia|pre|feciorii|lu|israil|eghipteanii 13şiurîiaprefecioriiluisraileghipteanii immsimmmsimsimmmmmmsisimmmmsimmmmmmmmms
şi|chinuiia|bătjocorindu-i şichinuiiabătjocorindu-i isimmmmmmsimmmmmmmmmmmms
şi|părindu-le|rău|pre şipărindu-lerăupre isimmmmmmmmsimsims
ei|14şi|pre|amărîmea-i|ducea ei14şipreamărîmea-iducea isimmsimsimmmmmmmmsimmms
viiaţa|lor|cu|robii|vărtoase|al viiaţalorcurobiivărtoaseal immmmsimsisimmmsimmmmmmsis
lutului|şi|a|cărămidzilor|şi|cu|toată lutuluişiacărămidzilorşicutoată immmmmsiscimmmmmmmmmmsisisimmms
slujba|cu|care slujbacucare immmmsisimms
se|călca|în|robiile secălcaînrobiile isimmmsisimmmmms
pămîntului|15zise|iară|împăratul|eghipetului pămîntului15ziseiarăîmpăratuleghipetului immmmmmmmsimmmmsimmsimmmmmmmsimmmmmmmmms
moaşelor|evreilor|dentre|carele|una|o moaşelorevreilordentrecareleunao immmmmmsimmmmmmsimmmmsimmmmsimsc
chiema|sifora|altă|fua|16poruncind|lor|cînd chiemasiforaaltăfua16poruncindlorcînd immmmsimmmmsimmsimsimmmmmmmmmsimsimms
vinind|veamea|născutului|să|va vinindveameanăscutuluisăva immmmsimmmmsimmmmmmmmsisis
fi|bărbat|omorîţi-l|pre|el|să fibărbatomorîţi-lpreelsă isimmmmsimmmmmmmsimsisis
va|fi|iară|fată|ţineţi-o|pre|ea vafiiarăfatăţineţi-opreea isisimmsimmsimmmmmmsimsis
17temură|iară|moaşele 17temurăiarămoaşele immmmmmsimmsimmmmms
pre|domnedzeu|şi|nu predomnedzeuşinu imsimmmmmmmsisis
făcură|după|porunca|împăratului|eghipetului făcurădupăporuncaîmpăratuluieghipetului immmmsimmsimmmmmsimmmmmmmmmsimmmmmmmmms
şi-i|lăsa|să|viiadze|18chiemă|la|sine şi-ilăsasăviiadze18chiemălasine immsimmsisimmmmmsimmmmmmsisimms
împăratul|eghipetului|şi|dzise împăratuleghipetuluişidzise immmmmmmsimmmmmmmmmsisimmms
lor|că|ce|aţi|făcut lorcăceaţifăcut imsisisimsimmms
aceasta|cum|ficiorii|aţi|lăsat|să aceastacumficioriiaţilăsatsă immmmmsimsimmmmmmsimsimmmsis
viiadze|19carele|răspunseră|nu|sînt|aşa|evreianele viiadze19carelerăspunserănusîntaşaevreianele immmmmsimmmmmmsimmmmmmmmsisimmsimsimmmmmmmms
cumu-s|muierile|eghiptiiane cumu-smuierileeghiptiiane immmmsimmmmmmsimmmmmmmmms
că|iale|au|mîndrie căialeaumîndrie isimmsisimmmmms
ce|venim|la|eale|nasc|20bine cevenimlaealenasc20bine isimmmsisimmsimmsimmmms
făcu|derept|aceea|domnedzeu|cu|moaşele|şi făcudereptaceeadomnedzeucumoaşeleşi immsimmmmsimmmsimmmmmmmsisimmmmmsis
vărtos|tare|se|puterniciră vărtostareseputerniciră immmmsimmsisimmmmmmmmms
21şi|prence|temură|moaşele|pre 21şiprencetemurămoaşelepre immsimmmmsimmmmsimmmmmsims
domnedzeu|şi|grămădi|lor|case|22porunci domnedzeuşigrămădilorcase22porunci immmmmmmsisimmmmmsimsimmsimmmmmmms
iară|faraon|tuturora|oamenilor|săi|şi|dzise iarăfaraontuturoraoamenilorsăişidzise immsimmmmsimmmmmmsimmmmmmmsimsisimmms
toţi|feciorii|carii toţifecioriicarii immsimmmmmmsimmms
vor|naşte|aruncaţi-i|în vornaştearuncaţi-iîn imsimmmsimmmmmmmmsis
apă|şi|toate|carele-s|feate apăşitoatecarele-sfeate imsisimmmsimmmmmmsimmms
lăsaţi|să|viiadze|cap|2|1mearse lăsaţisăviiadzecap21mearse immmmsisimmmmmsimscimmmmms
iară|un|om|den|casa|lu|levi iarăunomdencasalulevi immsisisimsimmsisimms
şi|luo|o şiluoo isimsc
fată|a|lui|levi fatăaluilevi immscimsimms
lui|muiare|2care|prinse|şi luimuiare2careprinseşi imsimmmmsimmmsimmmmsis
născu|un|fecior|şi|vădzînd|cum născuunfeciorşivădzîndcum immmsisimmmmsisimmmmmsims
că|ară|fi|frumos|porobocul|ascunse-l|în căarăfifrumosporoboculascunse-lîn isimsisimmmmsimmmmmmmsimmmmmmmsis
trei|luni|3şi treiluni3şi immsimmsims
cînd|mai|încolo|nu-l cîndmaiîncolonu-l immsimsimmmmsimms
putea|ascunde|făcu|o|lădiţă puteaascundefăcuolădiţă immmsimmmmmsimmscimmmms
de|speteadză|şi|o|lepi|cu despeteadzăşiolepicu isimmmmmmmsiscimmsis
cleiu|şi|cu|răşină|şi|puse|porobocul cleiuşicurăşinăşipuseporobocul immmsisisimmmmsisimmsimmmmmmms
într-însa|şi|aruncă într-însaşiaruncă immmmmmmsisimmmms
într-apă|curătoare|cu|rogoz|4soro-sa într-apăcurătoarecurogoz4soro-sa immmmmmsimmmmmmmsisimmmsimmmmmms
cum|i-ară|fi|lucrul|5mearse|gios|iară cumi-arăfilucrul5mearsegiosiară imsimmmsisimmmmsimmmmmsimmsimms
fata|lu|faraon fatalufaraon immsisimmmms
cum|să|se|scalde cumsăsescalde imsisisimmmms
în|apă|şi|featele|ei înapăşifeateleei isimsisimmmmmsis
ară|fi|vădzînd|lădiţa|în|apă|curătoare arăfivădzîndlădiţaînapăcurătoare imsisimmmmmsimmmmsisimsimmmmmmms
slujnica|şi-l|aduse|6şi slujnicaşi-laduse6şi immmmmmsimmsimmmsims
cînd|ară|fi|deşchizînd|vădzu cîndarăfideşchizîndvădzu immsimsisimmmmmmmmsimmms
porobocul|şi|iaca|porobocelul|plîngea|lăsă-i-se poroboculşiiacaporobocelulplîngealăsă-i-se immmmmmmsisimmsimmmmmmmmmsimmmmmsimmmmmmms
milă|de|el|şi|dzise|dentre|porobo milădeelşidzisedentreporobo immsisisisimmmsimmmmsimmmms
cii|jidovilor|iaste ciijidoviloriaste imsimmmmmmmsimmms
7zise|iară|sora|porobocelului 7ziseiarăsoraporobocelului immmsimmsimmsimmmmmmmmmmms
feateei|lu|faraon|vrea-veri|cum feateeilufaraonvrea-vericum immmmmsisimmmmsimmmmmmmsims
să|chiem|o|doică|dentre|muierile săchiemodoicădentremuierile isimmmscimmmsimmmmsimmmmmms
evreianelor|ca|să|apleace|porobocelul|8dzise|fata evreianelorcasăapleaceporobocelul8dzisefata immmmmmmmmsisisimmmmmsimmmmmmmmmsimmmmsimms
lui|faraon|ei luifaraonei imsimmmmsis
vă|mearse|derept|aceea vămearsedereptaceea isimmmmsimmmmsimmms
fata|şi|chiemă|muma|porobocelului fataşichiemămumaporobocelului immsisimmmmsimmsimmmmmmmmmmms
9cui|dzise|fata|lu|faraon|ia 9cuidzisefatalufaraonia immsimmmsimmsisimmmmsis
sus|cest|poroboc|şi-l|ţine|mie|şi-ţi suscestporobocşi-lţinemieşi-ţi imsimmsimmmmmsimmsimmsimsimmms
voi|plăti|ţie voiplătiţie imsimmmsims
luo|sus|derept|aceaea luosusdereptaceaea imsimsimmmmsimmmms
10şi|cînd|porobocul|se-ară|fi|mărind 10şicîndporoboculse-arăfimărind immsimmsimmmmmmmsimmmmsisimmmms
în|loc|de înlocde isimsis
fecior|şi|puse|numele feciorşipusenumele immmmsisimmsimmmms
lui|moisi|că|dzise|aceasta luimoisicădziseaceasta imsimmmsisimmmsimmmmms
den|apă|l-am|luat|afară|pre denapăl-amluatafarăpre imsimsimmsimmsimmmsims
el|11în|acealea|vremi|deaca|moisi|crescuse el11înacealeavremideacamoisicrescuse isimmsimmmmmsimmmsimmmsimmmsimmmmmms
mearse|afară|la mearseafarăla immmmsimmmsis
fraţii|săi|şi|vădzu fraţiisăişivădzu immmmsimsisimmms
chinul|lor|şi|cînd|ară chinullorşicîndară immmmsimsisimmsims
fi|vădzînd|cum|un|eghiptean|bate fivădzîndcumuneghipteanbate isimmmmmsimsisimmmmmmmsimms
un|jidov|dentre|fraţii|săi|12căutînd|într-îmbe unjidovdentrefraţiisăi12căutîndîntr-îmbe isimmmsimmmmsimmmmsimsimmmmmmmsimmmmmmms
laturile|şi|nevădzînd laturileşinevădzînd immmmmmsisimmmmmmms
niminea|omorî|pre|cel nimineaomorîprecel immmmmsimmmsimsims
13într-altă|zi|încă|ieşind|afară|văzu 13într-altăziîncăieşindafarăvăzu immmmmmmmmsisimmsimmmmsimmmsimms
cum|doi|jidovi|fraţi|se-ară|fi|svădind cumdoijidovifraţise-arăfisvădind imsimsimmmmsimmmsimmmmsisimmmmms
şi|dzise|celuia şidziseceluia isimmmsimmmms
carele|făcea|dosada|că carelefăceadosadacă immmmsimmmsimmmmsis
ce|baţi|fratele|tău|14acesta cebaţifrateletău14acesta isimmsimmmmmsimsimmmmmms
tine|domn|cap|de|dinainte|sau|giudecătoriu tinedomncapdedinaintesaugiudecătoriu immsimmsimsisimmmmmmsimsimmmmmmmmmms
pre|noi|au prenoiau imsimsis
să|mă|omorî|cum|omorîşi sămăomorîcumomorîşi isisimmmsimsimmmmms
şi|cel|eghiptean|ieri|temu-se|moisi şiceleghipteanieritemu-semoisi isimsimmmmmmmsimmsimmmmmsimmms
şi|dzise|cumu|se-au|fă|cut|cest şidzisecumuse-aufăcutcest isimmmsimmsimmmsisimsimms
cuvînt|15şi|audzi cuvînt15şiaudzi immmmsimmsimmms
faraon|acest|cuvînt|şi faraonacestcuvîntşi immmmsimmmsimmmmsis
căută|să|omoară|pre|moisi căutăsăomoarăpremoisi immmsisimmmmsimsimmms
ce|moisi|fugi|denaintea|lu|faraon cemoisifugidenaintealufaraon isimmmsimmsimmmmmmmsisimmmms
feate|aceastea|vineră|a|împlea feateaceasteavinerăaîmplea immmsimmmmmmsimmmmscimmmms
apă|şi|împlură|scocurele|cum|oile apăşiîmplurăscocurelecumoile imsisimmmmmsimmmmmmmsimsimms
păstori|şi|împinseră păstorişiîmpinseră immmmmsisimmmmmmms
pre|eale|de-acolo|ce preealede-acoloce imsimmsimmmmmmsis
şi|adăpară|oile|lor|18şi|cînd şiadăparăoilelor18şicînd isimmmmmsimmsimsimmsimms
său|dzise|tată-său săudzisetată-său imsimmmsimmmmmms
cum|aţi|astădzi|aşa cumaţiastădziaşa imsimsimmmmmsims
curund|venit|acasă|19răspunseră|un curundvenitacasă19răspunserăun immmmsimmmsimmmsimmmmmmmmmmsis
om|den|eghipet|ne|slobodzi|de omdeneghipetneslobodzide isimsimmmmmsisimmmmmmsis
featelor|sale|iuo|iaste featelorsaleiuoiaste immmmmmsimmsimsimmms
acel|om|că|ce|l-aţi acelomcăcel-aţi immsisisisimmms
lăsat|pre|el|chiemaţi-l|înlăuntru|cum lăsatpreelchiemaţi-lînlăuntrucum immmsimsisimmmmmmmmsimmmmmmmsims
să|mănînce|pîine|cu|noi|21plăcu|lu sămănîncepîinecunoi21plăculu isimmmmmsimmmsisimsimmmmmsis
moisi|cum|cu moisicumcu immmsimsis
acest|om|să|rămîie acestomsărămîie immmsisisimmmms
într-una|şi|acesta|pre|fata într-unaşiacestaprefata immmmmmsisimmmmsimsimms
făt|şi|puse fătşipuse imsisimms
numele|lui|gherson|că numeleluighersoncă immmmsimsimmmmmsis
dzise|aceasta|fost-am|nimearnic|în dziseaceastafost-amnimearnicîn immmsimmmmmsimmmmmsimmmmmmmsis
cest|pămînt|striin|şi|născu|şi cestpămîntstriinşinăscuşi immsimmmmsimmmmsisimmmsis
alt|făt|şi-l|chiemă|numele|lui|iliezer altfătşi-lchiemănumeleluiiliezer imsimsimmsimmmmsimmmmsimsimmmmms
şi|dzise|domnedzeul şidzisedomnedzeul isimmmsimmmmmmmms
tătîni-mieu|e|agiutoriul|mieu tătîni-mieueagiutoriulmieu immmmmmmmmscimmmmmmmmsimms
muri|craiul|den|eghipet|şi|feciorii|lu muricraiuldeneghipetşifecioriilu immsimmmmsimsimmmmmsisimmmmmmsis
izdrail|suspinară|şi izdrailsuspinarăşi immmmmsimmmmmmmsis
şi|strigarea|lor|derept|slujba şistrigarealordereptslujba isimmmmmmmsimsimmmmsimmmms
sosi|înaintea|lui|domnedzeu|24şi|domnedzeu sosiînaintealuidomnedzeu24şidomnedzeu immsimmmmmmsimsimmmmmmmsimmsimmmmmmms
audzi|gemutul|lor|şi|se|pomeni|despre audzigemutullorşisepomenidespre immmsimmmmmsimsisisimmmmsimmmms
legătura|ce|au legăturaceau immmmmmsisis
făcut|avraam|şi|cu făcutavraamşicu immmsimmmmsisis
căută|domnul|pre|feciorii|lu|israil căutădomnulprefecioriiluisrail immmsimmmmsimsimmmmmmsisimmmms
şi|luo|sus|căştiga|lor|cap|3 şiluosuscăştigalorcap3 isimsimsimmmmmsimsimsc
popeei|den|madian|şi|mînă popeeidenmadianşimînă immmmsimsimmmmsisimms
oile|în|pustine|den|lăuntru|vine oileînpustinedenlăuntruvine immsisimmmmmsimsimmmmmsimms
în|muntele|lui|domnedzeu|horev|2şi|îngerul înmunteleluidomnedzeuhorev2şiîngerul isimmmmmsimsimmmmmmmsimmmsimsimmmmms
domnului|se|ivi domnuluiseivi immmmmmsisims
lui|îm|pară|de luiîmparăde imsisimmsis
şi|vedea|cum|rugul|ardea|şi şivedeacumrugulardeaşi isimmmsimsimmmsimmmsis
nu|se|amistuia|3dzise|derept|aceea|moisi nuseamistuia3dzisedereptaceeamoisi isisimmmmmmsimmmmsimmmmsimmmsimmms
mearge-voiu|şi|voiu mearge-voiuşivoiu immmmmmmmmsisimms
vedea|ceastă|vedeare|mare vedeaceastăvedearemare immmsimmmmsimmmmmsimms
că|ce|nu|se|arde căcenusearde isisisisimms
vădzînd|cum|acolo|mergea|să|vadză|chiemă vădzîndcumacolomergeasăvadzăchiemă immmmmsimsimmmsimmmmsisimmmsimmmms
pre|el|domnedzeu preeldomnedzeu imsisimmmmmmms
den|cea|tufă|de denceatufăde imsimsimmsis
şi|răspunse|iată-mă|aicea|5el|zise şirăspunseiată-măaicea5elzise isimmmmmmsimmmmmsimmmsimsimms
nu|te|apropiia|desculţă-ţi|încălţămintele|tale|den nuteapropiiadesculţă-ţiîncălţăminteletaleden isisimmmmmmsimmmmmmmmmsimmmmmmmmmmmmsimmsims
picioarele|tale|că picioareletalecă immmmmmmmsimmsis
eu|sînt|domnedzeul|tătîni-tău|dumnedzeul|lu eusîntdomnedzeultătîni-tăudumnedzeullu isimmsimmmmmmmmsimmmmmmmmsimmmmmmmmsis
avraam|domnedzeul|lui|isac|şi|dumnedzeul|lu avraamdomnedzeulluiisacşidumnedzeullu immmmsimmmmmmmmsimsimmsisimmmmmmmmsis
iacov|şi|moisi iacovşimoisi immmsisimmms
acoperi|faţa|sa|că acoperifaţasacă immmmmsimmsisis
7şi|dzise|domnul|vădzut-am|călcătura|oamenilor 7şidzisedomnulvădzut-amcălcăturaoamenilor imsimmmsimmmmsimmmmmmmsimmmmmmmsimmmmmmms
miei|în|eghipet|şi|strigatul|lor|carea mieiîneghipetşistrigatullorcarea immsisimmmmmsisimmmmmmmsimsimmms
carii|pre|ei|dosădesc cariipreeidosădesc immmsimsisimmmmmms
am|audzit|că|amarul|lor amaudzitcăamarullor isimmmmsisimmmmsims
am|cunoscut|8şi|am|venit|gios amcunoscut8şiamvenitgios isimmmmmmsimsisimmmsimms
cum|să-i|slobodzesc|pre|ei|den|mînule cumsă-islobodzescpreeidenmînule imsimmsimmmmmmmmsimsisimsimmmms
duc|afară|pre|ei ducafarăpreei imsimmmsimsis
den|cel|pămînt|pre|pămînt dencelpămîntprepămînt imsimsimmmmsimsimmmms
bun|şi|larg|pre|pămîntul|ce bunşilargprepămîntulce imsisimmsimsimmmmmmsis
cură|cu|miiare|şi|cu|lapte|pre curăcumiiareşiculaptepre immsisimmmmsisisimmmsims
locurile|hananeilor|şi locurilehananeilorşi immmmmmsimmmmmmmmsis
heteilor|şi|amoreilor|şi heteilorşiamoreilorşi immmmmmsisimmmmmmmsis
9prince|cum|amu|strigatul|ficiorilor|lu 9princecumamustrigatulficiorilorlu immmmmsimsimsimmmmmmmsimmmmmmmmsis
izdrail|au|sosit|la|mine|şi|am izdrailausositlamineşiam immmmmsisimmmsisimmsisis
vădzut|călcăturile|lor vădzutcălcăturilelor immmmsimmmmmmmmmsims
în|ce|chip|pre încechippre isisimmsims
ei|calcă|eghipteanii|10pasă|derept eicalcăeghipteanii10pasăderept isimmmsimmmmmmmmmsimmmmsimmmms
aceaea|tremete-voiu|pre|tine|la|faraon aceaeatremete-voiupretinelafaraon immmmsimmmmmmmmmmsimsimmsisimmmms
cum|oamenii|miei|ficiorii|lu|izdrail|den cumoameniimieificioriiluizdrailden imsimmmmmsimmsimmmmmmsisimmmmmsims
eghipet|să-i|aduci eghipetsă-iaduci immmmmsimmsimmms
domnedzeu|cine-s|eu|cum|să domnedzeucine-seucumsă immmmmmmsimmmmsisimsis
merg|la|faraon|şi|pre|feciorii merglafaraonşiprefeciorii immsisimmmmsisimsimmmmmms
lu|izdrail|den|eghipet|să-i|duc|afară luizdraildeneghipetsă-iducafară isimmmmmsimsimmmmmsimmsimsimmms
voiu|fi|cu|tine voiuficutine immsisisimms
eu|am|tremes|pre|tine|cînd euamtremespretinecînd isisimmmmsimsimmsimms
den|eghipet|veri|fi|aducînd|afară|oamenii deneghipetverifiaducîndafarăoamenii imsimmmmmsimmsisimmmmmsimmmsimmmmms
jirtvă|în|cest|munte jirtvăîncestmunte immmmsisimmsimmms
lui|dumnedzeu|13dzise|moisi|lu luidumnedzeu13dzisemoisilu imsimmmmmmmsimmmmmsimmmsis
domnedzeu|iaca|să|voiu|mearge|la domnedzeuiacasăvoiumeargela immmmmmmsimmsisimmsimmmmsis
feciorii|lu|izdrail|şi|aş|dzice|lor fecioriiluizdrailşiaşdzicelor immmmmmsisimmmmmsisisimmmsims
aceasta|«domnedzeul|tătîni-vostru aceasta«domnedzeultătîni-vostru immmmmsimmmmmmmmmsimmmmmmmmmmms
la|voi»|şi|ară|dzice lavoi»şiarădzice isimmsisimsimmms
ce|aş|dzice|lor|14dzise|domnedzeu|lu ceaşdzicelor14dzisedomnedzeulu isisimmmsimsimmmmmsimmmmmmmsis
moisi|eu|sînt moisieusînt immmsisimms
cine|sînt|şi|dzise cinesîntşidzise immsimmsisimmms
în|acesta|chip|grăiaşte|ficiorilor înacestachipgrăiaşteficiorilor isimmmmsimmsimmmmmmsimmmmmmmms
mine|la|voi»|15şi|iară|dzise|domnedzeul minelavoi»15şiiarădzisedomnedzeul immsisimmsimmsimmsimmmsimmmmmmmms
lu|moisi|aşa lumoisiaşa isimmmsims
grăiaşte|ficiorilor|lu|izdrail grăiaşteficiorilorluizdrail immmmmmsimmmmmmmmsisimmmmms
«domnul|domnedzeul|părinţilor|voştri|domnedzeul «domnuldomnedzeulpărinţilorvoştridomnedzeul immmmmsimmmmmmmmsimmmmmmmmsimmmmsimmmmmmmms
dumnedzeul|lu|iacov|au|tremes|pre|mine dumnedzeulluiacovautremespremine immmmmmmmsisimmmsisimmmmsimsimms
e|numele|mieu|pînă enumelemieupînă cimmmmsimmsimms
în|veciia|veacului|şi|aceasta înveciiaveaculuişiaceasta isimmmmsimmmmmmsisimmmmms
e|pomeana|despre|mine|den|sămînţă epomeanadespreminedensămînţă cimmmmmsimmmmsimmsimsimmmmms
pre|sămînţă»|16vă|derept|aceaea|şi|adună presămînţă»16vădereptaceaeaşiadună imsimmmmmmsimmsimmmmsimmmmsisimmms
